Player,2017_Team,2017_Yards,2017_YardsRun,2017_Targets,2017_YardsPerRoute,2017_OpenScore,2017_CatchScore,2017_YACScore,2017_Overall,2018_Team,2018_Yards,2018_YardsRun,2018_Targets,2018_YardsPerRoute,2018_OpenScore,2018_CatchScore,2018_YACScore,2018_Overall,2019_Team,2019_Yards,2019_YardsRun,2019_Targets,2019_YardsPerRoute,2019_OpenScore,2019_CatchScore,2019_YACScore,2019_Overall,2020_Team,2020_Yards,2020_YardsRun,2020_Targets,2020_YardsPerRoute,2020_OpenScore,2020_CatchScore,2020_YACScore,2020_Overall,2021_Team,2021_Yards,2021_YardsRun,2021_Targets,2021_YardsPerRoute,2021_OpenScore,2021_CatchScore,2021_YACScore,2021_Overall,2022_Team,2022_Yards,2022_YardsRun,2022_Targets,2022_YardsPerRoute,2022_OpenScore,2022_CatchScore,2022_YACScore,2022_Overall
Pierre Garcon,49ers,500.00,255.00,62.00,2.00,44.00,60.00,51.00,52.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Preston Williams,,,,,,,,,,,,,,,,,,,Dolphins,428.00,235.00,59.00,1.80,69.00,57.00,58.00,69.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Quez Watkins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eagles,682.00,366.00,59.00,1.90,43.00,59.00,61.00,55.00,,,,,,,,,
Quincy Enunwa,,,,,,,,,,Jets,449.00,277.00,52.00,1.60,40.00,29.00,71.00,42.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Randall Cobb,Packers,653.00,402.00,77.00,1.60,30.00,51.00,48.00,37.00,,,,,,,,,,Cowboys,828.00,426.00,75.00,1.90,39.00,38.00,58.00,41.00,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashard Higgins,Browns,312.00,421.00,50.00,0.70,44.00,47.00,61.00,49.00,,,,,,,,,,,,,,,,,,,Browns,715.00,306.00,65.00,2.30,76.00,71.00,43.00,74.00,,,,,,,,,,,,,,,,,,
Rashod Bateman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ravens,515.00,382.00,66.00,1.30,44.00,68.00,50.00,55.00,,,,,,,,,
Ray-Ray McCloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Steelers,297.00,303.00,60.00,1.00,41.00,35.00,47.00,36.00,,,,,,,,,
Ricardo Louis,Browns,357.00,340.00,60.00,1.10,44.00,36.00,27.00,29.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richie James,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Giants,651.00,369.00,82.00,1.80,65.00,78.00,30.00,65.00
